subject,list,position,trial_type,item,item_index,session,list_type,category,response,response_time,list_category
1,2,1,study,SEAN PENN,228,1,mixed,cel,3.0,1.255,mixed
1,2,2,study,AUDREY HEPBURN,19,1,mixed,cel,3.0,1.04,mixed
1,2,3,study,ST PATRICKS CATHEDRAL,463,1,mixed,loc,2.0,1.1640000000000001,mixed
1,2,4,study,LES INVALIDES,364,1,mixed,loc,2.0,0.8290000000000001,mixed
1,2,5,study,GREAT ZIMBABWE RUINS,340,1,mixed,loc,3.0,0.872,mixed
1,2,6,study,BRYCE CANYON,281,1,mixed,loc,2.0,1.2409999999999999,mixed
1,2,7,study,TROPHY,745,1,mixed,obj,3.0,0.862,mixed
1,2,8,study,BRUSH,548,1,mixed,obj,3.0,0.779,mixed
1,2,9,study,SUPREME COURT,469,1,mixed,loc,2.0,1.245,mixed
1,2,10,study,SAN FRANCISCO,444,1,mixed,loc,4.0,0.8540000000000001,mixed
1,2,11,study,TREVI FOUNTAIN,483,1,mixed,loc,2.0,1.0490000000000002,mixed
1,2,12,study,TAHITI,472,1,mixed,loc,4.0,0.8240000000000001,mixed
1,2,13,study,ANDRE3000,11,1,mixed,cel,2.0,1.263,mixed
1,2,14,study,NICOLAS CAGE,191,1,mixed,cel,3.0,0.752,mixed
1,2,15,study,JUSTIN TIMBERLAKE,146,1,mixed,cel,4.0,0.898,mixed
1,2,16,study,JULIA ROBERTS,144,1,mixed,cel,4.0,0.805,mixed
1,2,17,study,LEBRON JAMES,159,1,mixed,cel,2.0,0.9279999999999999,mixed
1,2,18,study,JOHN MCCAIN,138,1,mixed,cel,2.0,1.018,mixed
1,2,19,study,GLASS,596,1,mixed,obj,3.0,1.051,mixed
1,2,20,study,KLEENEX,627,1,mixed,obj,4.0,0.855,mixed
1,2,21,study,BLENDER,537,1,mixed,obj,2.0,1.171,mixed
1,2,22,study,HELMET,610,1,mixed,obj,1.0,1.139,mixed
1,2,23,study,CHAIR,561,1,mixed,obj,4.0,0.9329999999999999,mixed
1,2,24,study,BRICK,546,1,mixed,obj,1.0,1.043,mixed
1,2,1,recall,BRICK,546,1,mixed,obj,1.0,1.043,mixed
1,2,2,recall,CHAIR,561,1,mixed,obj,4.0,0.9329999999999999,mixed
1,2,3,recall,JULIA ROBERTS,144,1,mixed,cel,4.0,0.805,mixed
1,2,4,recall,JUSTIN TIMBERLAKE,146,1,mixed,cel,4.0,0.898,mixed
1,2,5,recall,SEAN PENN,228,1,mixed,cel,3.0,1.255,mixed
1,2,6,recall,LEBRON JAMES,159,1,mixed,cel,2.0,0.9279999999999999,mixed
1,2,7,recall,JOHN MCCAIN,138,1,mixed,cel,2.0,1.018,mixed
1,2,8,recall,GLASS,596,1,mixed,obj,3.0,1.051,mixed
1,2,9,recall,TAHITI,472,1,mixed,loc,4.0,0.8240000000000001,mixed
1,2,10,recall,SAN FRANCISCO,444,1,mixed,loc,4.0,0.8540000000000001,mixed
1,2,11,recall,ST PATRICKS CATHEDRAL,463,1,mixed,loc,2.0,1.1640000000000001,mixed
1,2,12,recall,BRYCE CANYON,281,1,mixed,loc,2.0,1.2409999999999999,mixed
1,2,13,recall,NICOLAS CAGE,191,1,mixed,cel,3.0,0.752,mixed
1,2,14,recall,TROPHY,745,1,mixed,obj,3.0,0.862,mixed
1,3,1,study,STOVE,725,1,mixed,obj,4.0,0.9440000000000001,mixed
1,3,2,study,TOASTER,737,1,mixed,obj,4.0,0.6729999999999999,mixed
1,3,3,study,TILE,735,1,mixed,obj,3.0,1.025,mixed
1,3,4,study,TEAPOT,731,1,mixed,obj,4.0,0.725,mixed
1,3,5,study,ACROPOLIS,258,1,mixed,loc,3.0,1.24,mixed
1,3,6,study,GUGGENHEIM,341,1,mixed,loc,2.0,1.308,mixed
1,3,7,study,STATUE OF LIBERTY,465,1,mixed,loc,4.0,0.853,mixed
1,3,8,study,GIANT'S CAUSEWAY,327,1,mixed,loc,1.0,1.136,mixed
1,3,9,study,KATIE HOLMES,149,1,mixed,cel,4.0,0.9009999999999999,mixed
1,3,10,study,REGIS PHILBIN,210,1,mixed,cel,2.0,1.04,mixed
1,3,11,study,TOM HANKS,244,1,mixed,cel,4.0,0.93,mixed
1,3,12,study,QUEEN LATIFAH,206,1,mixed,cel,4.0,0.8140000000000001,mixed
1,3,13,study,JOHN F KENNEDY,134,1,mixed,cel,3.0,0.846,mixed
1,3,14,study,JODIE FOSTER,131,1,mixed,cel,4.0,0.909,mixed
1,3,15,study,DEVIL'S TOWER,311,1,mixed,loc,1.0,1.065,mixed
1,3,16,study,ARABIAN TOWER,265,1,mixed,loc,2.0,0.882,mixed
1,3,17,study,OLD FAITHFUL,407,1,mixed,loc,3.0,0.868,mixed
1,3,18,study,ST PAULS CATHEDRAL,464,1,mixed,loc,3.0,0.8590000000000001,mixed
1,3,19,study,PIANO,673,1,mixed,obj,4.0,0.748,mixed
1,3,20,study,SCISSORS,700,1,mixed,obj,4.0,0.841,mixed
1,3,21,study,WEDDING DRESS,760,1,mixed,obj,3.0,0.79,mixed
1,3,22,study,LAPTOP,633,1,mixed,obj,4.0,1.012,mixed
1,3,23,study,RUSSELL CROWE,222,1,mixed,cel,4.0,0.8390000000000001,mixed
1,3,24,study,GWEN STEFANI,97,1,mixed,cel,4.0,0.73,mixed
1,3,1,recall,RUSSELL CROWE,222,1,mixed,cel,4.0,0.8390000000000001,mixed
1,3,2,recall,GWEN STEFANI,97,1,mixed,cel,4.0,0.73,mixed
1,3,3,recall,LAPTOP,633,1,mixed,obj,4.0,1.012,mixed
1,3,4,recall,STOVE,725,1,mixed,obj,4.0,0.9440000000000001,mixed
1,3,5,recall,TOASTER,737,1,mixed,obj,4.0,0.6729999999999999,mixed
1,3,6,recall,KATIE HOLMES,149,1,mixed,cel,4.0,0.9009999999999999,mixed
1,3,7,recall,REGIS PHILBIN,210,1,mixed,cel,2.0,1.04,mixed
1,3,8,recall,TOM HANKS,244,1,mixed,cel,4.0,0.93,mixed
1,3,9,recall,ST PAULS CATHEDRAL,464,1,mixed,loc,3.0,0.8590000000000001,mixed
1,3,10,recall,ACROPOLIS,258,1,mixed,loc,3.0,1.24,mixed
1,3,11,recall,JOHN F KENNEDY,134,1,mixed,cel,3.0,0.846,mixed
1,3,12,recall,QUEEN LATIFAH,206,1,mixed,cel,4.0,0.8140000000000001,mixed
1,3,13,recall,ARABIAN TOWER,265,1,mixed,loc,2.0,0.882,mixed
1,3,14,recall,STATUE OF LIBERTY,465,1,mixed,loc,4.0,0.853,mixed
1,3,15,recall,DEVIL'S TOWER,311,1,mixed,loc,1.0,1.065,mixed
1,3,16,recall,WEDDING DRESS,760,1,mixed,obj,3.0,0.79,mixed
1,3,17,recall,TILE,735,1,mixed,obj,3.0,1.025,mixed
1,3,18,recall,SCISSORS,700,1,mixed,obj,4.0,0.841,mixed
1,4,1,study,BRANDENBURG GATE,278,1,mixed,loc,1.0,1.321,mixed
1,4,2,study,JENNE MOSQUE,353,1,mixed,loc,2.0,0.871,mixed
1,4,3,study,USHER,247,1,mixed,cel,4.0,0.972,mixed
1,4,4,study,NEWT GINGRICH,190,1,mixed,cel,3.0,0.865,mixed
